Date,Time,Open,High,Low,Close,Volume
2018.08.17,19:30,1.30777,1.30864,1.30776,1.30862,853
2018.08.17,19:45,1.30862,1.30881,1.30817,1.30851,653
2018.08.17,20:00,1.30853,1.30871,1.30828,1.30863,649
2018.08.17,20:15,1.30864,1.30926,1.30817,1.30901,717
2018.08.17,20:30,1.30902,1.30907,1.30871,1.30906,507
2018.08.17,20:45,1.30908,1.30937,1.30852,1.30860,664
2018.08.17,21:00,1.30861,1.30867,1.30690,1.30698,1627
2018.08.17,21:15,1.30694,1.30732,1.30597,1.30623,1664
2018.08.17,21:30,1.30622,1.30676,1.30576,1.30631,1238
2018.08.17,21:45,1.30629,1.30630,1.30522,1.30529,1251
2018.08.17,22:00,1.30536,1.30585,1.30530,1.30581,1287
2018.08.17,22:15,1.30582,1.30590,1.30507,1.30563,1269
2018.08.17,22:30,1.30562,1.30590,1.30536,1.30554,870
2018.08.17,22:45,1.30555,1.30596,1.30541,1.30594,1034
2018.08.17,23:00,1.30592,1.30639,1.30588,1.30606,798
2018.08.17,23:15,1.30607,1.30607,1.30582,1.30591,356
2018.08.17,23:30,1.30591,1.30597,1.30583,1.30594,333
2018.08.17,23:45,1.30593,1.30622,1.30588,1.30617,543
2018.08.20,00:00,1.30575,1.30603,1.30573,1.30594,40
2018.08.20,00:15,1.30602,1.30608,1.30588,1.30600,365
2018.08.20,00:30,1.30598,1.30602,1.30564,1.30565,380
2018.08.20,00:45,1.30565,1.30575,1.30564,1.30565,270
2018.08.20,01:00,1.30565,1.30571,1.30530,1.30544,264
2018.08.20,01:15,1.30543,1.30562,1.30540,1.30561,114
2018.08.20,01:30,1.30561,1.30577,1.30560,1.30576,263
2018.08.20,01:45,1.30577,1.30588,1.30558,1.30570,234
2018.08.20,02:00,1.30569,1.30591,1.30566,1.30588,301
2018.08.20,02:15,1.30589,1.30617,1.30570,1.30612,434
2018.08.20,02:30,1.30611,1.30613,1.30576,1.30586,394
2018.08.20,02:45,1.30587,1.30603,1.30585,1.30592,530
2018.08.20,03:00,1.30593,1.30627,1.30574,1.30611,845
2018.08.20,03:15,1.30612,1.30612,1.30590,1.30603,730
2018.08.20,03:30,1.30602,1.30611,1.30592,1.30609,835
2018.08.20,03:45,1.30608,1.30639,1.30606,1.30628,1343
2018.08.20,04:00,1.30628,1.30664,1.30621,1.30659,1091
2018.08.20,04:15,1.30659,1.30673,1.30643,1.30643,1017
2018.08.20,04:30,1.30643,1.30684,1.30641,1.30643,1292
2018.08.20,04:45,1.30641,1.30646,1.30611,1.30634,955
2018.08.20,05:00,1.30634,1.30636,1.30599,1.30615,941
2018.08.20,05:15,1.30613,1.30629,1.30567,1.30570,651
2018.08.20,05:30,1.30571,1.30626,1.30570,1.30619,850
2018.08.20,05:45,1.30620,1.30634,1.30611,1.30623,599
2018.08.20,06:00,1.30624,1.30630,1.30579,1.30596,676
